cluster58	Bacteria	Dependentiae	Babeliae	Babeliales	uncultured_bacterium	Babeliales1
cluster1	Bacteria	Verrucomicrobiota	Chlamydiae	Chlamydiales	Simkaniaceae	Chlamydia1
cluster21	Bacteria	Verrucomicrobiota	Chlamydiae	Chlamydiales	Simkaniaceae	Chlamydia2
cluster27	Bacteria	Proteobacteria	Alphaproteobacteria	Parvibaculales	PS1_clade	Contamination
cluster34	Bacteria	Spirochaetota	Leptospirae	Leptospirales	Leptospiraceae	Contamination
cluster37	Bacteria	Bacteroidota	Rhodothermia	Balneolales	Balneolaceae	Contamination
cluster39	Bacteria	Bdellovibrionota	Bdellovibrionia	Bacteriovoracales	Bacteriovoracaceae	Contamination
cluster42	Bacteria	Myxococcota	Myxococcia	Myxococcales	Myxococcaceae	Contamination
cluster44	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Neisseriaceae	Contamination
cluster45	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Contamination
cluster52	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	uncultured	Contamination
cluster6	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Contamination
cluster67	Bacteria	Bacteroidota	Rhodothermia	Balneolales	Balneolaceae	Contamination
cluster13	Bacteria	Proteobacteria	Gammaproteobacteria	Coxiellales	Coxiellaceae	Coxiella1
Enterobacterales	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacterales	Enterobacterales
cluster17	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Cyclobacteriaceae	Fabibacter1
Flavobacteriales	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriales	Flavobacteriales
cluster23	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Limnobacter1
cluster31	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Limnobacter2
cluster41	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Spirosomaceae	Pseudarciella1
Pseudomonadales	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadales	Pseudomonadales
cluster0	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Fokiniaceae	RETA1-2
cluster9	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Fokiniaceae	RETA3
cluster50	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	RETA4
Rhodobacteraceae	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rhodobacteraceae
cluster62	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	Ricketsia1
cluster24	Bacteria	Margulisbacteria	Margulisbacteria	Margulisbacteria	Margulisbacteria	Ruthmannia
cluster47	Bacteria	Proteobacteria	Gammaproteobacteria	Salinisphaerales	Salinisphaeraceae	Salinisphaera
cluster10	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Schlegelella1
cluster66	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Sutterellaceae	Sutterella1
cluster14	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Terasakiellaceae	Teraskiella1
cluster57	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Terasakiellaceae	Teraskiella2
cluster46	Bacteria	Proteobacteria	Gammaproteobacteria	UBA10353_marine_group	Gammaproteobacteria_bacterium_LS_SOB	UBA10353
cluster32	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Vulcaniibacterium1
